origin_country,total_flights,avg_velocity,on_ground,avg_geo_altitude
Algeria,8,186.54125,0.125,10447.02
Angola,4,180.925,0.0,7913.37
Argentina,11,166.74818181818182,0.09090909090909091,8593.836
Australia,33,122.31030303030302,0.3333333333333333,8979.167368421053
Austria,135,165.69792592592594,0.1111111111111111,7939.591764705882
Azerbaijan,1,0.0,1.0,
Bahamas,2,44.92,0.5,495.3
Bahrain,7,192.27857142857144,0.0,5956.662857142857
Bangladesh,4,199.3,0.0,6718.3
Belarus,4,169.49,0.0,7292.34
Belgium,38,164.58973684210525,0.15789473684210525,8424.770322580645
Bolivia,1,208.2,0.0,5913.12
Brazil,128,166.200703125,0.0703125,7699.090344827586
Brunei Darussalam,1,249.3,0.0,10995.66
Bulgaria,15,164.52533333333335,0.2,9199.418181818182
Cambodia,1,226.39,0.0,11209.02
Canada,467,142.92777301927197,0.15417558886509636,7032.814045801527
Chile,19,187.4157894736842,0.0,8600.44
China,122,194.98704918032786,0.05737704918032787,8532.442568807339
Colombia,6,158.67166666666665,0.0,7489.19
Croatia,11,183.07090909090908,0.09090909090909091,7989.57
Czech Republic,18,152.255,0.05555555555555555,7494.494117647058
Denmark,25,170.74200000000002,0.04,7515.970434782609
Dominican Republic,1,154.64,0.0,3192.78
Egypt,30,220.678,0.0,10800.842
Equatorial Guinea,1,74.61,0.0,609.6
Estonia,6,122.10833333333333,0.5,11061.699999999999
Ethiopia,9,171.16111111111113,0.2222222222222222,7015.842857142858
Finland,38,155.6992105263158,0.15789473684210525,7603.776774193548
France,177,142.05564971751411,0.15254237288135594,6538.880536912751
Georgia,5,66.39200000000001,0.8,11971.02
Germany,259,171.13714285714283,0.09266409266409266,7769.398181818182
Greece,40,150.01500000000001,0.2,7453.097419354838
Guatemala,6,39.84666666666667,0.3333333333333333,2948.94
Hungary,48,199.32041666666666,0.0625,9472.845333333333
Iceland,13,188.29461538461538,0.07692307692307693,7491.7300000000005
India,109,176.0307339449541,0.08256880733944955,7836.188041237113
Indonesia,5,174.502,0.0,6027.42
Ireland,318,175.00028301886792,0.1069182389937107,8180.329462365591
Islamic Republic of Iran,2,248.635,0.0,13235.94
Israel,39,166.20769230769233,0.15384615384615385,9384.744375
Italy,28,123.48714285714286,0.07142857142857142,3954.4752000000003
Japan,39,191.10666666666665,0.15384615384615385,9472.13625
Jordan,12,226.2325,0.0,10094.421818181818
Kenya,1,155.54,0.0,3909.06
Kingdom of the Netherlands,115,157.6644347826087,0.12173913043478261,7344.756363636364
Kuwait,1,183.73,0.0,11049.0
Latvia,32,146.15875,0.1875,6520.082307692308
Libyan Arab Jamahiriya,1,59.72,0.0,228.6
Lithuania,13,167.60153846153847,0.15384615384615385,8307.878181818181
Luxembourg,25,174.81040000000002,0.08,7234.4972727272725
Malaysia,22,181.67545454545456,0.13636363636363635,9267.19
Maldives,1,106.38,0.0,2202.18
Malta,177,184.81152542372882,0.07909604519774012,8567.87190184049
Mexico,116,162.80758620689656,0.05172413793103448,7524.679444444445
Morocco,32,196.2284375,0.09375,10233.66
Myanmar,3,177.61333333333334,0.0,4099.56
New Zealand,12,105.2525,0.5,6719.57
Norway,42,127.43690476190477,0.14285714285714285,5509.895
Oman,2,38.07,0.5,144.78
Pakistan,1,81.1,0.0,2331.72
Panama,17,181.4576470588235,0.058823529411764705,7990.5225
Peru,1,50.85,0.0,960.12
Philippines,15,159.68866666666665,0.2,7294.245
Poland,98,148.78418367346939,0.09183673469387756,7230.95191011236
Portugal,67,159.43089552238808,0.14925373134328357,8483.867368421053
Qatar,36,236.52833333333334,0.027777777777777776,10150.736470588236
Republic of Korea,50,188.0118,0.12,8814.344285714285
Republic of Moldova,4,248.4525,0.0,11300.46
Romania,14,129.16357142857143,0.07142857142857142,4358.64
Russian Federation,35,139.38342857142857,0.05714285714285714,7291.523571428572
San Marino,6,193.04166666666666,0.0,8333.74
Saudi Arabia,15,228.204,0.0,10639.697142857143
Senegal,1,65.38,0.0,342.9
Serbia,13,119.67923076923077,0.07692307692307693,5118.735
Singapore,24,230.81208333333333,0.08333333333333333,11215.18857142857
Slovenia,2,97.45,0.5,12382.5
South Africa,20,129.20736842105262,0.15,5747.385
Spain,195,170.86584615384615,0.05128205128205128,7067.0711475409835
Sri Lanka,4,243.8725,0.0,11191.875
Sweden,87,150.1816091954023,0.05747126436781609,6128.737777777778
Switzerland,72,139.35000000000002,0.2222222222222222,7712.302641509434
Syrian Arab Republic,1,243.88,0.0,8366.76
Taiwan,23,249.72695652173914,0.0,11563.003636363637
Thailand,22,187.72636363636363,0.09090909090909091,8779.042105263157
Trinidad and Tobago,3,167.21333333333334,0.0,8171.179999999999
Tunisia,6,183.95333333333335,0.16666666666666666,11475.72
Turkey,178,194.13657303370786,0.0449438202247191,9011.64290909091
Turkmenistan,3,168.36,0.3333333333333333,10736.58
Ukraine,4,178.73,0.0,7421.88
United Arab Emirates,70,219.24757142857143,0.014285714285714285,10091.233235294118
United Kingdom,432,182.77430555555554,0.05092592592592592,8398.242133995038
United States,6867,136.92559766763847,0.07892820736857434,5829.569141761227
Uzbekistan,5,183.544,0.0,11138.535
Venezuela,3,157.51333333333335,0.0,9635.49
Viet Nam,7,223.57285714285715,0.0,8836.66
