icao24,origin_country,velocity,geo_altitude,on_ground
39de4f,France,205.45,11833.86,False
39de4e,France,214.0,11856.72,False
a58211,United States,217.99,13121.64,False
aa3cbe,United States,0.0,,True
39de4b,France,138.33,2476.5,False
39de4d,France,183.63,3368.04,False
39de4c,France,154.75,3604.26,False
a53edd,United States,148.38,4061.46,False
a3423a,United States,74.9,2682.24,False
ab6fdd,United States,270.71,11475.72,False
39de51,France,5.66,,True
aae302,United States,199.25,11567.16,False
39de50,France,200.82,6210.3,False
a2cbca,United States,133.73,2514.6,False
39de53,France,208.93,10363.2,False
39de55,France,97.87,792.48,False
39de54,France,142.11,2156.46,False
a34230,United States,256.29,12763.5,False
80163d,India,0.77,,True
a5f849,United States,199.32,11887.2,False
a52bbb,United States,66.44,975.36,False
a41ef3,United States,198.8,13114.02,False
a3b88e,United States,287.56,10980.42,False
a4d879,United States,223.99,9250.68,False
a3a578,United States,262.08,12672.06,False
801616,India,138.19,3893.82,False
aa9300,United States,205.31,11430.0,False
a23563,United States,6.43,,True
abacb6,United States,188.23,12633.96,False
801619,India,242.74,12031.98,False
ae1fbb,United States,58.71,784.86,False
ad562b,United States,195.07,6987.54,False
a4c558,United States,32.72,381.0,False
a4751b,United States,104.04,3368.04,False
a97808,United States,90.05,2438.4,False
ad5622,United States,214.73,7719.06,False
ac231d,United States,94.59,2141.22,False
ad5628,United States,184.56,3787.14,False
801626,India,198.78,8930.64,False
a89eb9,United States,50.29,762.0,False
acdfab,United States,195.46,9608.82,False
39de46,France,1.03,,True
a2ded8,United States,296.81,12230.1,False
ad694c,United States,241.79,9052.56,False
ad561e,United States,165.81,6316.98,False
a4b238,United States,231.55,8534.4,False
39de40,France,160.24,4960.62,False
39de41,France,111.72,632.46,False
44028c,Austria,234.65,9677.4,False
adeca5,United States,278.43,10683.24,False
ab0356,United States,246.88,11087.1,False
a2228b,United States,227.68,10203.18,False
511188,Estonia,258.3,10980.42,False
abacd2,United States,133.94,2590.8,False
4acb02,Sweden,243.62,11132.82,False
4acb04,Sweden,205.7,11109.96,False
adffbe,United States,175.21,1394.46,False
a47597,United States,257.96,8404.86,False
e80251,Chile,238.36,12070.08,False
51116f,Estonia,209.08,10675.62,False
4bc8c8,Turkey,88.2,929.64,False
4bc8c6,Turkey,163.34,5654.04,False
4bc8c7,Turkey,242.89,10888.98,False
a7bc8e,United States,204.49,12679.68,False
ac499c,United States,129.18,11148.06,False
4bc8d0,Turkey,165.34,3893.82,False
008888,South Africa,126.96,2278.38,False
ab5cfc,United States,124.58,1043.94,False
abf008,United States,282.59,11338.56,False
acdfcc,United States,93.39,2125.98,False
ad563d,United States,157.23,5303.52,False
801698,India,217.9,,False
4bc8d6,Turkey,206.4,10005.06,False
4bc8d3,Turkey,246.94,10302.24,False
4bc8d4,Turkey,238.36,10911.84,False
a4d838,United States,189.23,12359.64,False
a963f7,United States,8.75,,True
ac234f,United States,233.57,12108.18,False
80164f,India,171.87,6233.16,False
471efa,Hungary,125.52,1615.44,False
e80270,Chile,199.81,7368.54,False
ae0cd4,United States,51.51,327.66,False
